account_id|customer_id|account_number|account_type|account_balance|credit_score
1|30|1510510639|Investment|49610.0|354
2|7|4666218525|Checking|857449.61|423
3|51|4887916718|Investment|267715.77|711
4|34|4947060878|Savings|746479.79|845
5|84|6260871910|Checking|52854.09|698
6|41|6915979847|Checking|446848.58|551
7|42|6695205608|Savings|906579.92|314
8|18|1276070519|Savings|64594.16|710
9|86|3817766171|Checking|488302.77|432
10|10|7246272535|Investment|8233.8|724
11|58|8452734595|Checking|806550.72|500
12|37|9412799100|Investment|793528.29|783
13|53|1019057703|Investment|413323.37|542
14|50|7721976731|Savings|777047.16|448
15|79|2082852001|Checking|419091.86|641
16|67|9021331482|Checking|213902.51|312
17|38|7687471317|Checking|353730.51|586
18|22|8737037595|Savings|109482.52|513
19|91|5795214613|Investment|300948.63|314
20|17|9249361873|Savings|826357.21|724
21|42|6421013230|Investment|391057.59|383
22|16|3727538153|Investment|644199.93|317
23|36|5875381374|Checking|483782.64|477
24|1|1272640525|Checking|585067.67|846
25|43|6349450701|Checking|928470.41|468
26|95|2483965170|Checking|331909.93|580
27|84|5084895747|Checking|530876.21|367
28|33|6626415551|Investment|231865.49|432
29|27|2113610161|Investment|370646.2|765
30|89|7277117314|Checking|377718.11|815
31|92|5005636457|Investment|73449.74|779
32|74|8327469410|Investment|767275.23|845
33|99|6779587208|Checking|281936.93|723
34|15|4459030704|Checking|332082.93|735
35|63|8049294195|Checking|31985.27|538
36|55|7893065732|Checking|263937.81|687
37|59|6290214867|Investment|188503.54|812
38|92|1441614355|Investment|460297.82|505
39|62|2164641234|Savings|355311.39|317
40|43|2302161932|Savings|883230.84|619
41|66|2569566740|Checking|820368.03|366
42|4|5895886117|Investment|941984.5|590
43|14|7947834815|Checking|966754.72|752
44|21|7981092515|Checking|315021.82|635
45|88|9034077650|Investment|715911.91|500
46|85|7174352594|Savings|556196.29|683
47|29|1982260667|Checking|824561.53|794
48|55|6644528055|Investment|641646.73|336
49|73|9117580620|Investment|256905.98|590
50|21|4620578074|Checking|599707.22|417
51|56|4795967589|Savings|481256.98|748
52|45|2498254246|Investment|751618.74|515
53|60|8831725577|Savings|640015.95|531
54|62|1991946265|Checking|104652.36|605
55|52|1811675383|Savings|72215.79|750
56|16|6937486027|Savings|316581.95|420
57|25|2460871436|Investment|846260.7|651
58|90|6344227621|Investment|717634.7|327
59|1|9028795348|Savings|244961.63|841
60|32|4093662086|Investment|193411.08|616
61|27|4500965050|Savings|470344.84|702
62|98|8656086189|Savings|98112.19|341
63|49|1833465907|Investment|957087.75|378
64|80|3075331380|Investment|723559.76|451
65|80|9671175780|Savings|559462.94|706
66|29|1016617821|Investment|649347.0|378
67|36|3691346168|Investment|748365.94|552
68|99|4568392337|Checking|97154.33|461
69|2|6800010325|Checking|131936.14|738
70|6|1112400585|Checking|746748.66|768
71|75|8557673599|Savings|117755.85|485
72|20|9566751877|Savings|558688.72|653
73|30|7087721757|Savings|910099.05|837
74|14|5085021566|Savings|588864.07|709
75|13|5302586837|Savings|679573.07|380
76|8|5108489297|Savings|332298.31|709
77|51|9137078785|Checking|489123.88|440
78|34|2245417758|Checking|301755.18|704
79|37|1139877355|Savings|308017.89|703
80|2|7168989122|Investment|469442.33|637
81|15|7422070659|Investment|246280.58|637
82|40|1956898521|Savings|342592.03|325
83|72|2557924039|Savings|153547.36|673
84|90|3144644043|Savings|195998.78|541
85|48|5025031593|Investment|653999.05|598
86|31|9683290584|Investment|452678.49|403
87|39|3058264292|Checking|642940.01|436
88|43|2839787027|Checking|420642.8|332
89|76|6810607607|Savings|701059.62|644
90|8|7187722325|Investment|711794.02|810
91|8|6792352543|Savings|261634.14|505
92|20|8321232585|Investment|696228.57|371
93|40|3562376293|Investment|874280.53|753
94|34|2786626347|Investment|426739.31|603
95|51|4855210315|Savings|814817.24|756
96|24|4830980744|Investment|562265.49|567
97|51|9103340765|Savings|120187.66|521
98|10|1880502005|Checking|717725.02|753
99|13|2545751024|Investment|535922.48|634
100|77|6699477109|Savings|855905.41|472
